step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,7.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99942,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33276,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
